logFC	logCPM	LR	PValue	FDR
AK162774	3.3656062123698	3.6798990489106	38.9009215518421	4.4587007086357e-10	3.94607607914001e-08
Dlx1	-3.36472924329139	1.15741143513413	40.4036008064369	2.06560061749726e-10	2.07420728673684e-08
Adh7	-3.34752084872754	1.41322864094194	42.6782310307507	6.45264040747531e-11	7.83570635527912e-09
AK159017	3.33996237698566	2.82854301467178	22.5493297536294	2.04815977781756e-06	4.60321706162296e-05
AK037592	3.3382960185864	2.39317028842602	50.5469539782616	1.16347626927123e-12	2.30707034913087e-10
Dmrtb1	-3.32788841705967	0.526709515070387	33.403575000209	7.48861823879546e-09	4.13060579967362e-07
AK016672	-3.32767043229089	1.00526910260408	34.6996194193218	3.8470678714084e-09	2.36330659629853e-07
KY467784	3.30669829610343	0.512615428658573	26.8159550787227	2.2378209890466e-07	7.33377945468932e-06
Scarna13	3.30333271239069	4.07053075322042	46.478771734497	9.26164003508765e-12	1.48154413489362e-09
Prrx2	-3.30205240385429	0.842245498828499	39.4858467765336	3.30445733659826e-10	3.04378379427787e-08
Ccdc42	-3.29817960913093	1.08809047571708	30.5918177309404	3.18433838970245e-08	1.42115842947831e-06
Pcdhgc5	3.28426260245111	2.92109385735582	40.7503247076917	1.72974697034049e-10	1.78266357173578e-08
AK030906	3.28181237040663	2.43423888941698	30.2049796236311	3.88710162528671e-08	1.6501747143663e-06
AK136385	3.26918984346463	2.90912130710686	52.4982129529526	4.30640014596066e-13	9.2784499832912e-11
AK169509	3.26755754139676	1.62126939578078	28.5228677151598	9.25983513753901e-08	3.39708003347889e-06
AK164412	3.26398025255902	1.84230659174633	31.6979643265906	1.80110888461556e-08	8.73509928096058e-07
Snora81	3.26300067174666	2.42826429361982	26.1180615656352	3.21165679860697e-07	1.00420366766823e-05
Mx1	3.25747281095604	6.81295324463843	135.317483081289	2.81379720527006e-31	4.40781332205555e-27
AK032000	3.25030878814108	2.67608197472756	31.1655137566565	2.36938177820991e-08	1.10465373677554e-06
AK053153	3.24763178048308	1.95063618378609	19.7133109362482	8.99724859455172e-06	0.00015353148064668
Tmprss11f	-3.2247455929556	0.4429680855315	30.063648565241	4.18095488473217e-08	1.73725884003526e-06
Sirpb1b	3.21570306896854	2.53418270834123	59.831938493628	1.03313118272951e-14	3.68861368275988e-12
Clybl	-3.21470957354178	1.39722702484718	47.5490303792237	5.36452861881654e-12	9.4421731251417e-10
Ly6c2	3.20843480395469	8.09734545030421	92.0811797812574	8.31927989835979e-22	1.86173599439723e-18
AK085685	3.19869137078237	1.89601346242267	41.5213646845043	1.16589781715332e-10	1.31394167666955e-08
Ifi214	3.1843450807736	4.35544825085729	56.2839891454292	6.27241132387199e-14	1.69409178255956e-11
AK085054	3.16169570113655	2.38097449985273	27.4529496934938	1.60963179266254e-07	5.51747965690563e-06
BC002288	3.15819808703881	4.23321933093928	50.4010863257771	1.25324830527659e-12	2.44879644216318e-10
AK043844	3.14916065985747	3.67740352060589	48.7319040377375	2.93453707021441e-12	5.34529339591961e-10
Nkain3	-3.14581979867791	0.980247363062437	29.8518408717746	4.66353873927944e-08	1.90245662371907e-06
DQ311577	-3.14503023486084	0.395040522052657	29.450296538321	5.73692607771442e-08	2.29843854238866e-06
AK081315	3.14010466724325	2.23839916303285	42.0405769214873	8.93989511692551e-11	1.0297313015194e-08
H2-Q10	3.13057463766542	3.2206592952091	37.8451763684635	7.65875156818264e-10	6.21628721842388e-08
AK137262	3.12520200270146	2.72202818484008	21.4133131007512	3.70191783423167e-06	7.41567044414823e-05
B3galt5	-3.1249930653988	0.98883973462357	38.105751831354	6.70122964798156e-10	5.61362365965942e-08
AK033254	3.12130992963487	1.51737406000764	39.7383362733052	2.90369528947724e-10	2.74014377769041e-08
AK081140	3.11920870306767	2.6494776155328	37.3897314568085	9.67300781559556e-10	7.53868992195545e-08
Dlk1	-3.11131012685182	1.07090872393915	32.2825171739386	1.33307386981073e-08	6.79027804748503e-07
Gzmb	3.11016728351335	5.62237536169676	75.8135812913055	3.11749483612974e-18	2.57029245305117e-15
Malat1	3.1030293090696	13.4066222348363	39.1858647885986	3.85319768650955e-10	3.46227228520525e-08
Onecut3	-3.08819616961198	1.36448503914383	30.0821654216428	4.14122269531062e-08	1.72532589154364e-06
Rorb	-3.08461054231014	4.96579737342477	27.4908343544698	1.57840764297796e-07	5.42231485246704e-06
BC052545	3.08297533986956	0.796486920981602	30.5861582027976	3.19364075842125e-08	1.42126086592809e-06
Adam4	3.08236235994977	1.5558463882412	31.7516619340502	1.75199280102257e-08	8.54983402742011e-07
AK034494	3.07794976368514	3.99172302788734	30.4151228134858	3.48798332096452e-08	1.51355287321078e-06
AK082682	3.07776164069037	1.60348459998708	23.8508785776717	1.04094357688646e-06	2.6863889838429e-05
AK075667	3.07149861035234	2.74913078972218	21.4901662231886	3.55647791399799e-06	7.14259314394596e-05
AK086315	3.06453561708216	3.82311385433916	13.6703988732133	0.000217861658349483	0.00194350961164274
Scrt2	-3.05460938755403	1.54606135858135	41.0883370684891	1.45501986970298e-10	1.57192319026877e-08
Oas2	3.04373214385551	6.8392940808065	85.8535046532689	1.93771681861917e-20	2.93159968229699e-17
AK170409	3.04222021378505	2.17119495483748	39.8347087741037	2.76389572521119e-10	2.6562224868364e-08
A930037H05Rik	3.02906196106977	4.51097828395585	63.6876972959282	1.45792235628501e-15	7.13698553475145e-13
AK160408	3.02570771240694	3.26406027397675	35.344152610776	2.76296844336718e-09	1.82624053440282e-07
Gm10696	-3.01776431495524	1.31824720541817	24.7609943743375	6.48975586962838e-07	1.82845369959944e-05
Rsad2	3.01403297390942	8.72400762445259	116.037812723061	4.66320084340748e-27	1.82622603029945e-23
